"Dimension","Config1_Run_1","Config1_Run_2","Config1_Run_3","Config1_Run_4","Config1_Run_5","Config1_Run_6","Config1_Run_7","Config1_Run_8","Config1_Run_9","Config1_Run_10","Config1_Run_11","Config1_Run_12","Config1_Run_13","Config1_Run_14","Config1_Run_15","Config1_Run_16","Config1_Run_17","Config1_Run_18","Config1_Run_19","Config1_Run_20","Config1_Run_21","Config1_Run_22","Config1_Run_23","Config1_Run_24","Config1_Run_25","Config1_Run_26","Config1_Run_27","Config1_Run_28","Config1_Run_29","Config1_Run_30","Config2_Run_1","Config2_Run_2","Config2_Run_3","Config2_Run_4","Config2_Run_5","Config2_Run_6","Config2_Run_7","Config2_Run_8","Config2_Run_9","Config2_Run_10","Config2_Run_11","Config2_Run_12","Config2_Run_13","Config2_Run_14","Config2_Run_15","Config2_Run_16","Config2_Run_17","Config2_Run_18","Config2_Run_19","Config2_Run_20","Config2_Run_21","Config2_Run_22","Config2_Run_23","Config2_Run_24","Config2_Run_25","Config2_Run_26","Config2_Run_27","Config2_Run_28","Config2_Run_29","Config2_Run_30","Mean_Config1","Mean_Config2","Mean_General"
51,911144.14230959,808314.320772798,611718.233796845,683035.586208968,951532.747915445,580191.101045099,1073844.8493211,963886.225105402,802463.887120924,721201.051955727,1031283.28708135,626639.386219374,743252.60599914,737284.489495529,655721.18940029,707863.171409689,851041.366338251,934853.92116224,822902.980014328,638628.619194323,737697.011446006,673305.040011495,846418.279598811,1101802.97323464,616096.068750632,798224.938360954,1068975.43728029,919714.609338884,931949.193538337,749740.314779223,1759138.76086259,1848758.04156306,1832654.10891255,1744129.77953385,1799681.07763537,2051384.95815544,1598976.16928988,1992320.400669,1616802.21527775,1731713.21534207,1788776.92787417,2181368.53843191,1965425.89991341,1653399.63927245,1785949.94053,1616509.33604535,1644649.93343396,1788596.52752656,1933691.66498778,1747885.49808921,1850189.01782079,1820064.33955539,1946329.26557761,2021388.80161817,1943056.51632335,1862847.44924906,2005774.86543127,1616077.7076119,1760476.01496831,1408959.69579014,810024.234273523,1810565.87690975,1310295.05559163
54,793237.074117344,913239.947121052,1247676.348139,753032.109537268,505622.373159371,986110.526947361,1077694.60577255,901915.704308724,1090168.90811064,1000405.23042553,1027702.311607,1087423.71523957,1050389.93979904,959511.867228473,1012552.73412079,974379.542612575,1201050.68397829,1070633.89878143,838163.044898598,931122.186844876,614126.390344477,966104.838465384,850206.696802695,1213751.18879456,1034320.81784046,629527.883181917,1024838.67523741,1217953.05430281,1330804.98232543,934496.881838478,2028297.90974635,2330802.53309573,2255460.62843214,1814196.08518557,1876967.59642873,2176258.63230563,2242552.63139013,1817158.35131479,1884336.42386624,1942920.15651668,2058554.53004353,2447804.06656875,1885462.7671213,1886336.0444866,2071607.29804864,2182727.49105393,2175209.98235789,2072294.59825028,1708472.97860142,1890897.36534916,1773714.4505531,2167328.82948982,1984732.85490103,2316217.57427198,2340101.736952,1940413.70622577,1908573.11379159,1979344.64153476,1879053.02256678,1990210.99065167,974605.472062771,2034266.96637007,1504436.21921642
61,1215740.67182005,1562746.6292765,1594185.23356096,1300642.93375662,1091822.41622018,1386240.57683517,1332090.20019011,1838133.93704634,1742202.26396352,1037360.19007443,995830.644582418,1279133.33614571,1417469.27018892,875850.31617117,821708.896888299,1772308.3289802,1235000.13978173,1580776.29250394,930241.668610565,1267748.61363452,1353793.90149833,1328836.05332045,1189006.1285033,1713407.1017266,1233287.77847936,1284751.23775427,1323975.70835792,1143354.43298501,1455595.55293951,1242470.14938235,2604445.27253728,3759682.58086679,3332171.66387802,3386785.16512603,2584270.62481434,3891228.1686165,3356876.98118704,2444192.94619269,3488329.12725318,2704151.43278604,2067960.28136566,3155273.77317007,3533960.55166984,3472296.68379619,2693507.3825344,4068060.59015809,3931707.38910087,2466935.45284512,2591660.79317805,2844861.22730043,3083625.8484479,2261897.9022478,3834393.32018925,2472334.96474204,2944513.20349753,3708585.41858181,2471994.31416653,2515658.90144099,3221422.41450292,3183559.53824154,1318190.35350595,3069211.4638145,2193700.90866022
73,2457777.27646274,2321904.70260462,2026104.92660169,1763047.34627394,1702377.51520166,2354682.41321292,2464035.18564766,1357391.32791197,2536407.97360498,2218576.31992687,2714446.2200908,2442291.73100777,1490319.04518491,2534716.84360506,2720617.61041462,2003747.5744116,2525543.94766524,1897675.28396559,1563809.00147322,1908040.30962371,2341979.64202084,1901143.67109016,2284035.2368783,1402056.83155245,2519277.19247447,2290942.6118533,1993805.89346797,1943628.62024539,2191647.80116158,1649421.79734404,3987697.66629075,4813537.00383265,4432225.71834983,3619869.70813142,4804870.74833759,4206385.49857336,5131038.23815708,4596635.63817921,3554111.43648484,4500277.75860071,4541537.47541254,5216213.42329187,4550969.91023805,3495247.99626496,5280120.08386824,4019449.21354778,3148282.64756505,4761021.27032632,4974954.21659989,4526242.53729178,4391673.90305824,4903057.92945973,2821522.39744739,4883911.9533009,4444738.43218559,5135249.57259079,4821001.49337435,3617928.05632059,4891333.29530113,4403377.76222752,2117381.72843267,4415816.099487,3266598.91395984
75,2720129.84960664,2777252.79273858,2051422.55635746,2445930.44229558,1852511.57227233,2554250.65218903,2394176.44023317,2168471.9526413,2255811.56419078,1614872.64079531,2256033.25514104,2321078.74528521,2490345.65258368,2655166.55269021,2163567.70192994,2563930.66663887,2637997.43076568,1727920.19110634,2715372.65972181,1967961.51739599,2555442.31852019,2451442.05212174,2053761.34207725,2663244.58728411,2519486.24293427,2810528.81978648,1820971.42236682,1361926.03819538,2961339.55603425,2325965.1405271,5172002.53904271,5400356.95615029,3930044.29363672,4986208.12894317,4141207.04114392,5079929.14674936,4616929.40270837,4442088.81877645,5302561.486264,5005209.50768885,4398489.78840523,4155319.13447709,4072093.37191975,5679848.04701728,4441709.06862554,4438376.17664252,4348783.48308522,5125096.28866328,4227394.05614093,4390314.74465044,3890466.25459304,4688352.96863852,4654313.29236951,5632193.92919978,4408031.89364462,5457488.64945822,4119899.11063743,5268776.94418912,5053369.12117057,5286867.70045587,2328610.41188089,4727124.04483626,3527867.22835857
77,2839678.75948055,2973010.52218676,2459088.16547283,2565635.58672257,3066895.06394571,1951077.96263474,2413895.92154753,2166182.86646369,3175727.94592673,2175304.36629285,2105052.80514682,2518415.67671845,2159613.51460517,1990440.19831944,2009824.07866558,2590287.12638669,2588307.59117896,2977594.26000316,2027928.13024895,2658664.74452344,2737425.50048964,2929231.30043116,2837661.43709405,2659683.87690937,1981612.80762954,3123846.98142287,2416407.64057445,2453036.89781225,2673529.59302765,2724065.41054591,5466858.50649442,5329072.96122449,4668141.56175992,3353859.02309487,4527008.588801,4078206.02701832,5022249.96033556,4893989.65643257,5177517.47827685,5141131.45461656,4970900.42083801,5329077.15180886,5180895.81403807,5921317.06922204,3878670.61039447,5058550.01026516,4446975.43531482,4777714.64740336,4720705.31125939,5170674.27346195,5023754.30149121,4821777.8955285,4083031.1423076,4590797.93867519,5114651.1572976,4622515.54494832,5225759.78174858,4787999.97635606,4470181.36332129,5104874.47095512,2531637.55774692,4831961.98448967,3681799.77111829
79,2824569.99942055,2818054.73784553,2857739.11588148,2718422.73408625,3168809.44989701,2653044.92837522,2566908.24891224,2621864.64354609,3314179.42406477,2470405.38152904,2973984.91628537,2711802.25068664,2692978.73144009,2838842.60992429,2510828.88445794,2360221.62152195,2269223.49559217,2958941.05279515,3110463.34085248,2550252.9440529,3245826.79166677,2997329.27335583,3268947.52087718,2198940.23322068,2477690.62870728,3224963.84731899,1914035.26902202,3119769.48205797,2542450.87270633,2603198.96816148,5573333.48744587,5095362.01397715,5000415.25515413,5117064.38751931,4306805.14743586,5039915.51532996,4675857.53639275,5490172.56888891,5744515.42247315,4056511.44994452,4214269.12639498,5004804.08041382,4279408.82793606,4636018.04039334,4620043.67805452,5014438.05968176,4816108.28897036,3881399.7336857,5944391.07887584,5693266.0386119,5332385.37200586,5452191.82025084,5689999.68009739,5839133.21584364,4759803.15033021,5038282.70812888,4892269.22441266,4454534.62498665,5122367.5320624,5283430.40700725,2752823.04660872,5002283.24909019,3877553.14784946
82,2867198.60418411,2352722.8909729,2623890.69320179,3206420.29237623,3478699.37756694,2559836.74942829,2900384.68528654,2638406.94027603,2846995.8309519,2204863.29264481,2999150.51242123,2368148.68580888,2910569.10034001,2714605.2106346,2811614.02970976,2974985.35201152,2293179.15386216,3011458.25738611,2672273.93932259,2801906.51031116,3101967.10685022,2534933.9545032,2896360.48043906,3112926.99887474,2850420.77456317,2756325.0958861,3055864.38379827,2409060.7583394,2792141.44935384,3438302.12207519,4633214.70487865,4593135.97403837,5901158.10832309,4902234.03373074,4707195.62831119,5067292.47296764,5518807.13019171,4830995.49522596,6461207.13305194,4199170.38664238,4804979.24873472,4369098.32289253,5626502.52645069,5804842.80922942,5423641.0229388,4518397.12962067,4813783.33949516,4855846.79061694,5380097.17100586,5044316.0252483,4964428.90875753,5034746.42776684,4869516.56484066,4247639.31269449,4891151.17423472,5454279.46197055,5242292.04509738,5913803.45868205,5162580.60593975,5355128.06213445,2806187.10777936,5086382.71585711,3946284.91181823
91,3880156.41117175,2894318.62185914,3896072.64391732,4117135.53398624,4171138.01769164,3378664.67745138,3170322.47213395,4006108.32340575,3919897.4200415,3648824.1721487,3505873.87134649,3648484.29489526,3291757.30806,3970391.929809,3661824.15432813,3958874.61847116,3686251.32927176,3971651.43701302,3124642.37628698,3552804.03471596,3799004.44040606,3715899.68573876,3068505.47598265,4084233.70582342,3459025.95549833,3837322.27671411,3352209.71320734,4154717.07748288,3322723.3970811,3699065.30588453,5283673.06948987,6085262.18634939,5927769.32619206,5604093.63697871,5973827.50774365,5993360.79745398,6544966.44698409,5938936.64501051,6622760.19313324,5416513.63969303,6111107.85321708,5783120.43062725,5882577.28699077,6415164.17476548,6219598.55727644,6353662.37210329,5721440.462804,5776688.8125023,6561673.5998548,6444535.3163913,6363776.78050358,4954277.48301157,5757218.58384361,6263159.39870224,6894203.74880525,5637079.49621037,6170410.05777205,6555905.79881563,6272291.81100135,5446636.83306764,3664930.02272748,6032523.07690982,4848726.54981865
92,3946761.31268475,4253737.38367439,3544364.58938382,3635411.06936339,3200342.93968448,3318441.80861831,3339796.60124543,3927453.95315513,4233209.76716572,3592560.31535595,3909171.77775127,2707047.50040354,3826911.28086974,3886679.39385394,2727128.90990604,3978139.67360809,3223837.06105883,3612130.06741017,3715591.2191013,4065703.92429284,3200923.00863323,2365089.36847286,3609555.05036833,3482313.99158273,3214880.69175992,3769221.15975241,3558100.10099352,3930211.07910736,2758280.66424,3758233.42933009,5731739.23341113,6827163.38067359,6677734.17160294,6615859.35431789,5649213.2389505,6230250.74042949,6427567.34159945,5491198.51806742,6275924.54376086,6179433.09154481,5935605.71735123,5262070.42889975,5764558.5755578,6323587.88447786,5649549.71934374,6127089.95147106,5883569.05147654,6577455.36407591,6621974.51397138,6465202.74655865,6649414.50933097,6345522.08275511,5974109.67939311,5833917.23297977,5758137.45544166,6550033.6539314,5957755.21122772,6588531.94350992,5849978.52154338,6804193.10882111,3543040.96976092,6167611.36554921,4855326.16765506
93,3700133.98950309,4331224.95666834,3728976.68103334,4016897.61960877,3464744.48634351,4570237.49198865,3664775.98951605,3856475.08921576,4155535.73407968,3022525.81074339,2551500.08213278,3349143.17540227,3556035.7798806,3098250.60216111,3536100.69026658,3876361.23059792,3901100.15171128,4292804.17407474,4455690.23365267,3510466.23676837,3760231.59724671,4036157.66765015,3929831.01547984,4417440.23730447,4219793.66532012,3548974.94710258,4229607.9212023,4474494.70014769,3799998.96998745,3513645.37183653,5645997.29968303,7171613.5963002,6920896.06632924,5630877.31534743,6196809.19830636,6439879.32120716,6827708.53501088,6058507.52935887,6628643.84672962,5014976.50982009,5492910.44175804,6207855.10960396,6217500.24208772,7229028.45958512,6226735.75536445,7102856.63284538,5571172.72197029,5347797.89084056,6289505.00765363,6121886.67517067,7533446.63805553,7289672.56498395,5842750.12806339,6602319.52961977,6227541.78653131,6146693.59878006,6229770.03112309,6585081.67397306,7420897.5768679,6855876.58665056,3818971.87662089,6369240.27565404,5094106.07613747
100,5209852.52416304,3713317.47158338,4068645.25729153,5154406.96651794,4339183.54699845,3762724.98660176,4543906.9365859,4747045.36438178,4694076.69679614,4261370.84186535,4395474.04372421,4315413.64594118,2901721.37415203,4952268.46075921,4334455.95746075,4113152.01113534,5170603.05495567,4592934.78361596,4046389.99368862,4429900.96447065,3596715.34596809,5325687.05970511,4640604.8330535,4376109.04993611,4507401.71632904,3897973.2340365,4651094.82991272,4275066.60243538,4164716.6355621,4598269.80287488,7565419.6160932,6604567.34425853,6008860.71015704,5844324.69097183,6256886.94832199,7328265.51627941,7002081.3936633,6640212.93333879,6602295.55656069,7268285.03163526,7055437.52826581,6840509.1137892,7368049.82243913,7131933.72809347,6352758.57118043,4916340.03447443,6362459.56937433,6782248.33149929,6975231.82047846,7349509.67636653,6775826.16545615,5426068.51667661,7299121.35669414,7747298.21434573,6927698.11393246,6464028.65388082,7106410.05124269,7610087.50221727,6740673.68581105,6849795.36878781,4392682.79975008,6773422.85220953,5583052.8259798
104,4850460.37919144,5634142.16912545,5211691.32134699,3267323.19330394,3144713.02945956,5156324.11487744,5614757.532257,4988652.63344099,4114979.73057417,4321021.38318342,4426926.92470978,4796493.97004642,5128368.10752838,5236465.01004629,5260019.96527601,4956940.61763208,4913426.54780835,5637838.21594112,4556281.71718494,5526986.69710304,4186936.93132893,5088729.24409333,4572515.97573419,5179675.16429838,5369326.57235985,3773955.64377642,5479274.71851813,5397123.88088336,5443636.38428987,5249365.74009543,7487125.61425995,7390179.55408373,8031199.74960005,7515857.6075623,7646220.39845458,7221322.4419649,7042499.13394308,7251948.53483244,7202642.68859556,8249270.24890097,7593240.76117308,6801577.99159645,5073980.82189654,7441387.9824044,6654367.74874667,8504240.13423656,8076116.11325901,8025877.72322067,7637227.20366842,6223850.78327708,7323987.74402986,6302953.8989199,7428092.41409865,7854227.31486978,7034967.1119445,7075425.10653468,7302941.00709086,7371398.11729386,7662272.09563512,7711457.62492068,4882811.78384716,7337928.52236714,6110370.15310715
107,4851611.67412161,5224505.80872821,5260026.68440809,5839593.29790043,5047977.33454111,5745980.89227956,5335275.14679598,4670230.09694965,5418280.90593597,4794141.68879185,4656048.53681307,4994241.56959174,4623894.74334419,5232864.29984714,4903846.59018021,5621566.68196655,4463736.91855133,6108616.30046291,4230644.55399386,5779693.02290738,5110256.61257172,5707386.57046893,4932561.72241953,5166683.79675849,5572736.78197286,5189342.17692188,5670216.46994883,5648992.63192907,5141370.91311579,4877133.10977399,7234158.81212767,8287430.69793697,7311028.91245657,7751191.12179512,7916844.8494946,6763733.20297223,8344222.23462935,6303046.27043734,5882648.03852006,8325139.28810711,7886822.03221972,7978753.86205597,7842463.20545311,6548779.38202832,7587291.59737208,8198853.3087808,6612123.40576591,8692752.98320024,7731172.97318762,8152302.20226989,8271955.11627841,7879391.36629585,7297815.0532408,6858247.37383865,8558367.9432728,7651024.86602332,7624508.41825895,7207298.55271866,5803006.1893073,7407397.4623381,5193981.91779973,7530325.69074612,6362153.80427292
110,4874475.08129341,4660662.61783805,5309515.87711803,5246408.84393882,4732852.46916492,5331906.44370822,3709411.15235868,6093626.12356959,5652711.35688118,5853742.11295507,4191358.78328877,6094386.10304002,5380414.43728934,5425765.84673484,5697148.55698704,4374258.48720348,5155935.62578751,5672085.78492363,5835523.76881504,5362286.82587438,6087641.03257154,5234419.7876893,6119332.36794103,4203923.77717609,5612531.82457343,5654247.96873896,4827631.55879391,4751770.66189154,6200227.64957573,6024957.68990282,6499191.86102045,8143928.65796377,8151827.41031126,7958319.8550076,7986686.92463277,7329036.3741592,7697691.16434893,7936054.98478115,8854321.70333365,8973078.79952638,8201757.18362367,7222634.05482169,7398103.09053489,7610203.82155117,8193022.54154238,7467939.60351652,7099648.06538652,6386339.38846329,6620381.44945694,7612996.74287768,7687969.97643001,6581127.29469395,7457735.58317181,7345960.00492579,8890324.441684,8263680.55477633,7648392.17882598,7501729.84773534,7850579.78949728,7596375.01992529,5312372.02058748,7672234.61228419,6492303.31643584
118,4871814.72165996,5680787.2579146,6137170.4978004,5873996.41259436,5890841.45329956,6672017.24776818,6392261.78252884,5046582.41644501,6602181.73982561,6000961.78348384,7171466.40278082,5496373.27691907,6632212.26102727,5622804.62717579,5669501.75671795,6258991.39280552,7283067.68856033,6158620.50857125,5950718.05984972,3814422.45924286,5151338.45979448,6505004.53945897,6050304.0495533,4907351.8476298,6154248.64338921,4877369.85347131,5499738.50388107,5819012.10727537,6418122.45081087,6379412.33730566,8288636.85518535,8002133.62277743,7151453.8932971,8792114.77705121,8940418.56073403,8653723.6914189,9052655.02531671,9321780.58592044,7076193.68559303,8926524.42234837,8949217.81831281,8345187.36337332,7885820.49912795,9240937.4232866,9514780.30166861,7474842.33656022,8169734.16354311,6388232.44854052,8177374.96131262,9131384.77689266,7810300.71857,9684441.06066178,8145047.9390698,7617714.36251249,8014877.86007602,9341243.74851259,8182137.38644956,9070457.93717626,8650556.18556673,8422289.57048303,5899623.2179847,8414073.79937798,7156848.50868134
